company_id,canonical_name,country,region_group,stage_bucket,value_chain_stage,listed,provider_ticker_yf,exchanges,tickers,selection_rationale,use_in_project,notes
3931.HK,CALB,China,China,Cell/Pack,Battery Cell / Pack,True,3931.HK,HKEX,3931.HK,배터리 제조 핵심 노드,핵심 공급망 전파 경로 노드,
300750.SZ,CATL,China,China,Cell/Pack,Battery Cell / Pack,True,300750.SZ,SZSE,300750.SZ,배터리 제조 핵심 노드,핵심 공급망 전파 경로 노드,
300037.SZ,Capchem,China,China,Cell/Pack,Electrolyte / Battery chemicals,True,300037.SZ,SZSE,300037.SZ,배터리 제조 핵심 노드,핵심 공급망 전파 경로 노드,
300014.SZ,EVE Energy,China,China,Cell/Pack,Battery Cell / Pack,True,300014.SZ,SZSE,300014.SZ,배터리 제조 핵심 노드,핵심 공급망 전파 경로 노드,
002074.SZ,Gotion High-Tech,China,China,Cell/Pack,Battery Cell / Pack,True,002074.SZ,SZSE,002074.SZ,배터리 제조 핵심 노드,핵심 공급망 전파 경로 노드,
300207.SZ,Sunwoda,China,China,Cell/Pack,Battery Cell / Pack,True,300207.SZ,SZSE,300207.SZ,배터리 제조 핵심 노드,핵심 공급망 전파 경로 노드,
920185.BJ,BTR New Material,China,China,Materials,Anode (and some cathode-related),True,920185.BJ,BSE,920185.BJ;835185.BJ,전구체·양극·분리막 등 전이 경로 핵심,중간재 병목/노출도 측정,Ticker conventions vary across data vendors; choose one canonical ticker.
300919.SZ,CNGR Advanced Material,China,China,Materials,Precursors (cathode),True,300919.SZ,SZSE,300919.SZ,전구체·양극·분리막 등 전이 경로 핵심,중간재 병목/노출도 측정,
002340.SZ,GEM,China,China,Materials,Precursors / Recycling,True,002340.SZ,SZSE,002340.SZ,전구체·양극·분리막 등 전이 경로 핵심,중간재 병목/노출도 측정,
603799.SH,Huayou Cobalt,China,China,Materials,Precursors / Refining (Co/Ni) / Cathode supply,True,603799.SS,SSE,603799.SH,전구체·양극·분리막 등 전이 경로 핵심,중간재 병목/노출도 측정,
688388.SH,Jiayuan Technology,China,China,Materials,Copper Foil (current collector),True,688388.SS,SSE STAR,688388.SH,전구체·양극·분리막 등 전이 경로 핵심,중간재 병목/노출도 측정,
600110.SH,Nuode,China,China,Materials,Copper Foil (current collector),True,600110.SS,SSE,600110.SH,전구체·양극·분리막 등 전이 경로 핵심,중간재 병목/노출도 측정,
603659.SH,Putailai,China,China,Materials,Anode / Materials,True,603659.SS,SSE,603659.SH,전구체·양극·분리막 등 전이 경로 핵심,중간재 병목/노출도 측정,
600733.SH,BAIC BluePark,China,China,OEM,OEM / EV Brand,True,600733.SS,SSE,600733.SH,수요단 대표 기업 / 시장 반응 확인용,가격 반응(CAR) 및 수요단 전이 검증,
1211.HK,BYD,China,China,OEM,OEM / EV Brand; Battery (vertical),True,1211.HK,HKEX;SZSE,1211.HK;002594.SZ,수요단 대표 기업 / 시장 반응 확인용,가격 반응(CAR) 및 수요단 전이 검증,
000625.SZ,Changan Automobile,China,China,OEM,OEM / EV Brand,True,000625.SZ,SZSE,000625.SZ,수요단 대표 기업 / 시장 반응 확인용,가격 반응(CAR) 및 수요단 전이 검증,
600006.SH,Dongfeng Motor,China,China,OEM,OEM / EV Brand,True,600006.SS,SSE,600006.SH,수요단 대표 기업 / 시장 반응 확인용,가격 반응(CAR) 및 수요단 전이 검증,
601238.SH,GAC Group,China,China,OEM,OEM / EV Brand,True,601238.SS,SSE,601238.SH,수요단 대표 기업 / 시장 반응 확인용,가격 반응(CAR) 및 수요단 전이 검증,
0175.HK,Geely Automobile,China,China,OEM,OEM / EV Brand,True,0175.HK,HKEX,0175.HK,수요단 대표 기업 / 시장 반응 확인용,가격 반응(CAR) 및 수요단 전이 검증,
601633.SH,Great Wall Motor,China,China,OEM,OEM / EV Brand,True,601633.SS,SSE;HKEX,601633.SH;2333.HK,수요단 대표 기업 / 시장 반응 확인용,가격 반응(CAR) 및 수요단 전이 검증,
600418.SH,JAC Motors,China,China,OEM,OEM / EV Brand,True,600418.SS,SSE,600418.SH,수요단 대표 기업 / 시장 반응 확인용,가격 반응(CAR) 및 수요단 전이 검증,
603993.SH,CMOC,China,China,Upstream/Refining,Metals / Mining (Co/Ni),True,603993.SS,SSE;HKEX,603993.SH;3993.HK,원자재/제련 충격의 초기 진원지,자원·정제 충격 이벤트 연결,
002460.SZ,Ganfeng Lithium,China,China,Upstream/Refining,Lithium (upstream/refining),True,002460.SZ,SZSE;HKEX,002460.SZ;1772.HK,원자재/제련 충격의 초기 진원지,자원·정제 충격 이벤트 연결,
600362.SH,Jiangxi Copper,China,China,Upstream/Refining,Metals (Copper),True,600362.SS,SSE;HKEX,600362.SH;0358.HK,원자재/제련 충격의 초기 진원지,자원·정제 충격 이벤트 연결,
002466.SZ,Tianqi Lithium,China,China,Upstream/Refining,Lithium (upstream/refining),True,002466.SZ,SZSE;HKEX,002466.SZ;9696.HK,원자재/제련 충격의 초기 진원지,자원·정제 충격 이벤트 연결,
BAS.DE,BASF,Germany,Overseas,Cell/Pack,Battery chemicals / Materials,True,BAS.DE,XETRA,BAS.DE,배터리 제조 핵심 노드,핵심 공급망 전파 경로 노드,
051910.KS,LG Chem,Korea,Overseas,Cell/Pack,Battery materials / Chemicals,True,051910.KS,KRX,051910.KS,배터리 제조 핵심 노드,핵심 공급망 전파 경로 노드,
